date,registrations
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,
2021-07-11,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,
2021-11-01,3017585543.0
2021-11-02,3024018599.0
2021-11-03,3027762175.0
2021-11-04,3030795551.0
2021-11-05,
2021-11-06,3036577907.0
2021-11-07,3040220759.0
2021-11-08,3043978055.0
2021-11-09,3046379655.0
2021-11-10,3048381319.0
2021-11-11,3051124327.0
2021-11-12,3053644855.0
2021-11-13,3056391255.0
2021-11-14,3059653510.0
2021-11-15,3063074287.0
2021-11-16,3065642599.0
2021-11-17,3068027015.0
2021-11-18,3070372855.0
2021-11-19,3072738087.0
2021-11-20,3075422687.0
2021-11-21,3078687367.0
2021-11-22,3081809223.0
2021-11-23,3084184967.0
2021-11-24,3086566247.0
2021-11-25,3088951575.0
2021-11-26,3091452231.0
2021-11-27,3094243463.0
2021-11-28,3097555543.0
2021-11-29,3100865831.0
2021-11-30,3103114167.0
2021-12-01,3105315527.0
2021-12-02,3107617399.0
2021-12-03,3109840211.0
2021-12-04,3112236231.0
2021-12-05,3115304375.0
2021-12-06,3118201735.0
2021-12-07,3120345839.0
2021-12-08,3122460103.0
2021-12-09,3124616711.0
2021-12-10,3126847831.0
2021-12-11,3129360703.0
2021-12-12,3132435927.0
2021-12-13,3135345703.0
2021-12-14,3137715751.0
2021-12-15,3139982470.0
2021-12-16,3142330327.0
2021-12-17,3144737975.0
2021-12-18,3147386503.0
2021-12-19,3150534215.0
2021-12-20,3153544287.0
2021-12-21,3156208327.0
2021-12-22,3158848391.0
2021-12-23,3161631975.0
2021-12-24,3164605575.0
2021-12-25,3167965351.0
2021-12-26,3172735815.0
2021-12-27,3176687223.0
2021-12-28,3180664391.0
2021-12-29,3183706183.0
2021-12-30,3186594375.0
2021-12-31,3189554023.0
2022-01-01,
2022-01-02,3196177639.0
2022-01-03,3199222207.0
2022-01-04,3201964935.0
2022-01-05,3204607879.0
2022-01-06,3207160323.0
2022-01-07,3209811415.0
2022-01-08,3212565383.0
2022-01-09,3215584175.0
2022-01-10,3218497223.0
2022-01-11,3220843551.0
2022-01-12,3223149943.0
2022-01-13,3225446663.0
2022-01-14,3227782791.0
2022-01-15,3230334087.0
2022-01-16,3233392743.0
2022-01-17,3236372287.0
2022-01-18,3238855967.0
2022-01-19,3241183367.0
2022-01-20,3243604423.0
2022-01-21,3246012021.0
2022-01-22,3248841607.0
2022-01-23,3252246655.0
2022-01-24,3255407223.0
2022-01-25,3257994295.0
2022-01-26,3260495679.0
2022-01-27,3263091175.0
2022-01-28,3265731927.0
2022-01-29,3268672579.0
2022-01-30,3272066015.0
2022-01-31,3275358087.0
2022-02-01,3277953767.0
2022-02-02,3280531655.0
2022-02-03,3283047751.0
2022-02-04,3285642357.0
2022-02-05,3288493379.0
2022-02-06,3291852575.0
2022-02-07,3295104967.0
2022-02-08,3297636967.0
2022-02-09,3300107007.0
2022-02-10,3302496615.0
2022-02-11,3304857223.0
2022-02-12,3307467783.0
2022-02-13,3311438775.0
2022-02-14,3314832263.0
2022-02-15,3317166983.0
2022-02-16,3319453103.0
2022-02-17,3321748743.0
2022-02-18,
2022-02-19,
2022-02-20,3330276215.0
2022-02-21,3333541495.0
2022-02-22,3336113631.0
2022-02-23,3338528167.0
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,3354004743.0
2022-03-01,3356459639.0
2022-03-02,3358866607.0
2022-03-03,3361124135.0
2022-03-04,
2022-03-05,3365866887.0
2022-03-06,3369115447.0
2022-03-07,3372258183.0
2022-03-08,3374644407.0
2022-03-09,3377030743.0
2022-03-10,3379323527.0
2022-03-11,3381496147.0
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,3392717159.0
2022-03-16,3394870855.0
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,
2022-05-08,
2022-05-09,
2022-05-10,
2022-05-11,
2022-05-12,
2022-05-13,
2022-05-14,
2022-05-15,
2022-05-16,
2022-05-17,
2022-05-18,
2022-05-19,
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,
2022-06-01,
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-06,
2022-06-07,
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,
2022-07-15,
2022-07-16,
2022-07-17,
2022-07-18,
2022-07-19,
2022-07-20,
2022-07-21,
2022-07-22,
2022-07-23,
2022-07-24,
2022-07-25,
2022-07-26,
2022-07-27,
2022-07-28,
2022-07-29,
2022-07-30,
2022-07-31,
2022-08-01,
2022-08-02,
2022-08-03,
2022-08-04,
2022-08-05,
2022-08-06,
2022-08-07,
2022-08-08,
2022-08-09,
2022-08-10,
2022-08-11,
2022-08-12,
2022-08-13,
2022-08-14,
2022-08-15,
2022-08-16,
2022-08-17,
2022-08-18,
2022-08-19,
2022-08-20,
2022-08-21,
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,
2022-08-27,
2022-08-28,
2022-08-29,
2022-08-30,
2022-08-31,
2022-09-01,
2022-09-02,
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-10,
2022-09-11,
2022-09-12,
2022-09-13,
2022-09-14,
2022-09-15,
2022-09-16,
2022-09-17,
2022-09-18,
2022-09-19,
2022-09-20,
2022-09-21,
2022-09-22,
2022-09-23,
2022-09-24,
2022-09-25,
2022-09-26,
2022-09-27,
2022-09-28,
2022-09-29,
2022-09-30,
2022-10-01,
2022-10-02,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,
2022-10-08,
2022-10-09,
2022-10-10,
2022-10-11,
2022-10-12,
2022-10-13,
2022-10-14,
2022-10-15,
2022-10-16,
2022-10-17,
2022-10-18,
2022-10-19,
2022-10-20,
2022-10-21,
2022-10-22,
2022-10-23,
2022-10-24,
2022-10-25,
2022-10-26,
2022-10-27,
2022-10-28,
2022-10-29,
2022-10-30,
2022-10-31,4016632967.0
2022-11-01,4019062823.0
2022-11-02,4021536391.0
2022-11-03,4024190663.0
2022-11-04,4026487303.0
2022-11-05,4029178335.0
2022-11-06,4033207143.0
2022-11-07,4036732871.0
2022-11-08,4038673868.0
2022-11-09,4041437932.0
2022-11-10,
2022-11-11,4045981479.0
2022-11-12,4048603367.0
2022-11-13,4052189511.0
2022-11-14,4055693343.0
2022-11-15,4058312375.0
2022-11-16,4060807843.0
2022-11-17,4063105927.0
2022-11-18,4065225927.0
2022-11-19,4067779079.0
2022-11-20,4071277575.0
2022-11-21,4074651015.0
2022-11-22,4076887615.0
2022-11-23,4079021119.0
2022-11-24,4081236871.0
2022-11-25,4083537287.0
2022-11-26,4086235655.0
2022-11-27,4089671751.0
2022-11-28,4092982143.0
2022-11-29,4095168347.0
2022-11-30,4097841827.0
2022-12-01,4100111370.0
2022-12-02,4102714185.0
2022-12-03,4105197720.0
2022-12-04,4108677271.0
2022-12-05,4111921878.0
2022-12-06,4113877718.0
2022-12-07,4116902773.0
2022-12-08,4118473859.0
2022-12-09,4121668738.0
2022-12-10,4124226737.0
2022-12-11,4127716064.0
2022-12-12,4130921183.0
2022-12-13,4133631774.0
2022-12-14,4135849165.0
2022-12-15,4138035468.0
2022-12-16,4140314947.0
2022-12-17,4142981057.0
2022-12-18,4146388928.0
2022-12-19,4149898687.0
2022-12-20,4152611230.0
2022-12-21,4155318397.0
2022-12-22,4158061276.0
2022-12-23,4160995675.0
2022-12-24,4164246554.0
2022-12-25,4167998777.0
2022-12-26,4173382840.0
2022-12-27,4177503223.0
2022-12-28,4180992886.0
2022-12-29,4184306997.0
2022-12-30,4187642916.0
2022-12-31,4191124195.0
2023-01-01,4194967522.0
2023-01-02,4199105601.0
2023-01-03,4202538048.0
2023-01-04,4205914140.0
2023-01-05,4209371067.0
2023-01-06,4212469946.0
2023-01-07,4215657401.0
2023-01-08,4219403032.0
2023-01-09,4222902231.0
2023-01-10,4225534846.0
2023-01-11,4228396237.0
2023-01-12,4231285671.0
2023-01-13,4233919652.0
2023-01-14,4236778275.0
2023-01-15,4240549122.0
2023-01-16,4244175361.0
2023-01-17,4246966752.0
2023-01-18,4249733532.0
2023-01-19,4252884379.0
2023-01-20,4255838938.0
2023-01-21,4258930841.0
2023-01-22,4263078840.0
2023-01-23,4267164759.0
2023-01-24,4270170454.0
2023-01-25,4273260757.0
2023-01-26,4276230996.0
2023-01-27,4279115507.0
2023-01-28,4282335474.0
2023-01-29,4286757025.0
2023-01-30,4290691232.0
2023-01-31,4293458047.0
2023-02-01,4296197438.0
2023-02-02,4298906301.0
2023-02-03,4301556924.0
2023-02-04,4304604027.0
2023-02-05,4308882906.0
2023-02-06,4312753433.0
2023-02-07,4315437016.0
2023-02-08,4318044871.0
2023-02-09,4320964102.0
2023-02-10,4323592389.0
2023-02-11,4326612068.0
2023-02-12,4330947843.0
2023-02-13,4334921690.0
2023-02-14,4337578201.0
2023-02-15,4340099256.0
2023-02-16,4342656423.0
2023-02-17,4345287926.0
2023-02-18,4348452885.0
2023-02-19,4352685252.0
2023-02-20,4356599971.0
2023-02-21,4359614834.0
2023-02-22,4362444561.0
2023-02-23,4365257392.0
2023-02-24,4368060815.0
2023-02-25,4371254286.0
2023-02-26,4375462413.0
2023-02-27,4379275500.0
2023-02-28,4381801163.0
2023-03-01,4384234138.0
2023-03-02,4386594969.0
2023-03-03,4389023288.0
2023-03-04,4392008807.0
2023-03-05,4396145494.0
2023-03-06,4400026837.0
2023-03-07,4402528772.0
2023-03-08,4404998419.0
2023-03-09,4407615554.0
2023-03-10,4410010569.0
2023-03-11,4412825736.0
2023-03-12,4416851143.0
2023-03-13,4420665718.0
2023-03-14,4423161141.0
2023-03-15,4425783732.0
2023-03-16,4428344931.0
2023-03-17,4430933458.0
2023-03-18,4434018257.0
2023-03-19,4438237520.0
2023-03-20,4442278799.0
2023-03-21,4445070670.0
2023-03-22,4447642957.0
2023-03-23,4450343532.0
2023-03-24,4453121579.0
2023-03-25,4456215194.0
2023-03-26,4460487273.0
2023-03-27,4464315688.0
2023-03-28,4464315688.0
2023-03-29,4469360483.0
2023-03-30,4471826530.0
2023-03-31,4474320609.0
2023-04-01,
2023-04-02,4481330431.0
2023-04-03,4485089694.0
2023-04-04,4487851197.0
2023-04-05,4490667836.0
2023-04-06,4493496051.0
2023-04-07,4493496051.0
2023-04-08,4493496051.0
2023-04-09,4493496051.0
2023-04-10,4493496051.0
2023-04-11,4493496051.0
2023-04-12,4516686898.0
2023-04-13,4520087985.0
2023-04-14,4523627216.0
2023-04-15,4527581183.0
2023-04-16,4532291582.0
2023-04-17,4536358549.0
2023-04-18,4539373204.0
2023-04-19,4541970675.0
2023-04-20,4544563442.0
2023-04-21,4547221041.0
2023-04-22,4550879696.0
2023-04-23,4554619855.0
2023-04-24,4558392638.0
2023-04-25,4560915325.0
2023-04-26,4563516652.0
2023-04-27,4565952971.0
2023-04-28,4568486682.0
2023-04-29,4571468889.0
2023-04-30,4575387000.0
2023-05-01,
2023-05-02,4582922550.0
2023-05-03,4585526453.0
2023-05-04,4588144500.0
2023-05-05,4590659635.0
2023-05-06,4593467250.0
2023-05-07,4597574225.0
2023-05-08,4601486728.0
2023-05-09,4604081079.0
2023-05-10,4606502350.0
2023-05-11,4608877885.0
2023-05-12,4611226652.0
2023-05-13,4613986763.0
2023-05-14,4617669482.0
2023-05-15,4621279529.0
2023-05-16,4623775208.0
2023-05-17,4626122119.0
2023-05-18,4628519462.0
2023-05-19,4631228229.0
2023-05-20,4634038084.0
2023-05-21,4637631395.0
2023-05-22,4641094242.0
2023-05-23,4643469764.0
2023-05-24,4645852979.0
2023-05-25,4648292778.0
2023-05-26,4650699993.0
2023-05-27,4653446776.0
2023-05-28,4656972327.0
2023-05-29,4660487814.0
2023-05-30,4663212637.0
2023-05-31,4665670236.0
2023-06-01,
2023-06-02,4671456850.0
2023-06-03,4674692625.0
2023-06-04,4678547952.0
2023-06-05,4682328815.0
2023-06-06,4685135262.0
2023-06-07,4687752157.0
2023-06-08,4690408476.0
2023-06-09,4693329867.0
2023-06-10,4696454954.0
2023-06-11,4700184073.0
2023-06-12,4703841352.0
2023-06-13,4706710727.0
2023-06-14,4709531654.0
2023-06-15,4712287669.0
2023-06-16,4715020020.0
2023-06-17,4717980083.0
2023-06-18,4721600842.0
2023-06-19,4725333833.0
2023-06-20,4728258680.0
2023-06-21,4731083023.0
2023-06-22,4733894606.0
2023-06-23,4736751173.0
2023-06-24,4739802132.0
2023-06-25,4744040981.0
2023-06-26,4748493460.0
2023-06-27,4751437427.0
2023-06-28,4754377778.0
2023-06-29,4757682269.0
2023-06-30,4760867724.0
2023-07-01,
2023-07-02,4767676026.0
2023-07-03,4771278629.0
2023-07-04,4774377700.0
2023-07-05,4777402539.0
2023-07-06,4780469854.0
2023-07-07,4783628573.0
2023-07-08,4786939580.0
2023-07-09,4790736443.0
2023-07-10,4794519130.0
2023-07-11,4797774265.0
2023-07-12,4800952552.0
2023-07-13,4804148919.0
2023-07-14,4807766274.0
2023-07-15,4812017869.0
2023-07-16,4816313932.0
2023-07-17,4820589977.0
2023-07-18,4824390992.0
2023-07-19,4828035319.0
2023-07-20,4831577314.0
2023-07-21,4835507169.0
2023-07-22,4840604656.0
2023-07-23,4844681711.0
2023-07-24,4848552926.0
2023-07-25,4851940253.0
2023-07-26,4855215372.0
2023-07-27,4858508747.0
2023-07-28,4861907018.0
2023-07-29,4865562361.0
2023-07-30,4869560440.0
2023-07-31,4873660663.0
2023-08-01,4877366198.0
2023-08-02,4881178773.0
2023-08-03,4884921012.0
2023-08-04,4888484907.0
2023-08-05,4892482602.0
2023-08-06,4896569641.0
2023-08-07,4900735944.0
2023-08-08,4904382623.0
2023-08-09,4907743638.0
2023-08-10,4911075349.0
2023-08-11,4914411284.0
2023-08-12,4917557011.0
2023-08-13,4921903218.0
2023-08-14,4926001265.0
2023-08-15,4929466720.0
2023-08-16,4932845823.0
2023-08-17,4936194430.0
2023-08-18,4939717885.0
2023-08-19,4943216828.0
2023-08-20,4947332635.0
2023-08-21,4951432602.0
2023-08-22,4954785673.0
2023-08-23,4958024840.0
2023-08-24,4961181927.0
2023-08-25,4964370918.0
2023-08-26,4967851045.0
2023-08-27,4972050212.0
2023-08-28,4976276419.0
2023-08-29,4979488178.0
2023-08-30,4982609297.0
2023-08-31,4985729200.0
2023-09-01,4988776095.0
2023-09-02,4992098206.0
2023-09-03,4996189845.0
2023-09-04,5000156372.0
2023-09-05,5003137331.0
2023-09-06,5005729690.0
2023-09-07,5008256409.0
2023-09-08,5010989464.0
2023-09-09,5014012311.0
2023-09-10,5017983094.0
2023-09-11,5021851413.0
2023-09-12,5024269236.0
2023-09-13,5026560879.0
2023-09-14,5028945118.0
2023-09-15,5031332757.0
2023-09-16,5034220676.0
2023-09-17,5038316419.0
2023-09-18,5042299682.0
2023-09-19,5044786977.0
2023-09-20,5047212480.0
2023-09-21,5049636023.0
2023-09-22,5052072150.0
2023-09-23,5055033557.0
2023-09-24,5059202900.0
2023-09-25,5063343507.0
2023-09-26,5066017922.0
2023-09-27,5068513281.0
2023-09-28,5071080704.0
2023-09-29,5073760383.0
2023-09-30,5077025742.0
2023-10-01,5081353037.0
2023-10-02,5085452588.0
2023-10-03,5088017707.0
2023-10-04,5090446410.0
2023-10-05,5092854601.0
2023-10-06,5095413032.0
2023-10-07,5098393511.0
2023-10-08,5102411668.0
2023-10-09,5106310723.0
2023-10-10,5108960834.0
2023-10-11,5111934273.0
2023-10-12,5115794368.0
2023-10-13,5119383775.0
2023-10-14,5123351934.0
2023-10-15,5128283773.0
2023-10-16,5132853484.0
2023-10-17,5135824043.0
2023-10-18,5138429962.0
2023-10-19,5141016809.0
2023-10-20,5143700232.0
2023-10-21,5146996743.0
2023-10-22,5151649478.0
